row_type,canonical_code,display_name_en,category,sphinx_api_id,sphinx_api_name,novoton_api_id,novoton_api_name,novoton_facility_type,sphinx_in_travel_api_alias,novoton_in_travel_api_alias,novoton_mapping_table,travel_feature_map_exists,proposed_cscart_group,match_quality,gap_notes

SECTION: MATCHED FACILITIES — Same amenity exists in BOTH providers with canonical code in travel_feature_map,,,,,,,,,,,,,,

MATCHED,pool,Swimming Pool,Wellness & Recreation,37,Swimming Pool,7,Outdoor swimming pool,hotel_facility,YES,NO,hotel_feature_mappings,YES,Hotel Amenities,PARTIAL,"Novoton has separate outdoor(7) and indoor(8) pools; Sphinx has single 'pool' canonical. Consider splitting canonical or mapping both Novoton IDs to 'pool'"
MATCHED,pool,Swimming Pool,Wellness & Recreation,37,Swimming Pool,8,Indoor swimming pool,hotel_facility,YES,NO,hotel_feature_mappings,YES,Hotel Amenities,PARTIAL,"Second Novoton pool variant — indoor. Both 7+8 should map to canonical 'pool'"
MATCHED,spa,Spa Facilities,Wellness & Recreation,25,Spa Facilities,10,SPA Center,hotel_facility,YES,NO,hotel_feature_mappings,YES,Hotel Amenities,GOOD,"Direct match: Sphinx 25 = Novoton 10"
MATCHED,fitness,Fitness Centre,Wellness & Recreation,31,Fitness Centre,12,Fitness,hotel_facility,YES,NO,hotel_feature_mappings,YES,Hotel Amenities,GOOD,"Direct match: Sphinx 31 = Novoton 12"
MATCHED,aqua_park,Aqua Park,Wellness & Recreation,184,Aqua Park,9,Own aquapark,hotel_facility,YES,NO,hotel_feature_mappings,YES,Hotel Amenities,GOOD,"Direct match: Sphinx 184 = Novoton 9"
MATCHED,free_wifi,Free Wi-Fi,Room Amenities,126,Free Wi-Fi,4,Wi-Fi,room_facility,YES,NO,hotel_feature_mappings,YES,Room Amenities,GOOD,"Direct match: Sphinx 126 = Novoton 4"
MATCHED,air_conditioning,Air Conditioning,Room Amenities,"124, 157",Air Conditioning,16,Air conditioning/Heating,room_facility,YES,NO,hotel_feature_mappings,YES,Room Amenities,PARTIAL,"Novoton 16 combines AC + Heating into one facility. Sphinx has separate IDs for AC (124/157) and Heating (125)"
MATCHED,heating,Heating,Room Amenities,125,Heating,16,Air conditioning/Heating,room_facility,YES,NO,hotel_feature_mappings,YES,Room Amenities,PARTIAL,"Novoton 16 covers both AC and Heating. May need to map Novoton 16 → both 'air_conditioning' AND 'heating'"
MATCHED,ski_storage,Ski Storage,Room Amenities,129,Ski Storage,5,ski wardrobe,room_facility,YES,NO,hotel_feature_mappings,YES,Room Amenities,GOOD,"Direct match: Sphinx 129 = Novoton 5 (different name, same concept)"
MATCHED,terrace,Terrace,Outdoor,76,Terrace,15,Terrace/Balcony,hotel_facility,YES,NO,hotel_feature_mappings,YES,Hotel Amenities,PARTIAL,"Novoton 15 includes balcony too. Sphinx has only terrace"
MATCHED,kids_menu,Kid's Menu,Food & Drink,1,Kid's Menu,19,Childrens menu,hotel_facility,YES,NO,hotel_feature_mappings,YES,Family & Accessibility,GOOD,"Direct match: Sphinx 1 = Novoton 19"
MATCHED,pets_allowed,Pets Allowed,Room Amenities,111,Pets Allowed,3,Pets,hotel_facility,YES,NO,hotel_feature_mappings,YES,Family & Accessibility,GOOD,"Direct match: Sphinx 111 = Novoton 3"
MATCHED,disabled_access,Facilities for Disabled,Accessibility,118,Facilities for Disabled,23,Suitable for people with disabilities,hotel_facility,YES,NO,hotel_feature_mappings,YES,Family & Accessibility,GOOD,"Direct match: Sphinx 118 = Novoton 23"
MATCHED,free_parking,Free Parking,Parking & Transport,47,Free Parking,2,Parking,hotel_facility,YES,NO,hotel_feature_mappings,YES,Parking & Transport,PARTIAL,"Novoton 2='Parking' is generic; may not always mean free. Sphinx distinguishes free(47) vs secured(48)"
MATCHED,family_rooms,Family Rooms,Room Amenities,120,Family Rooms,26,Suitable for families with children,hotel_facility,YES,NO,hotel_feature_mappings,YES,Family & Accessibility,PARTIAL,"Different concept: Sphinx=dedicated family rooms; Novoton=general family suitability. Consider 'family_friendly' canonical instead"

SECTION: NOVOTON-ONLY FACILITIES — Exist in Novoton API but NO direct canonical code in travel_feature_map,,,,,,,,,,,,,,

NOVOTON_ONLY,—,—,Beach & Location,—,—,1,Free umbrella and sunbed,beach_access,—,NO,hotel_feature_mappings,NO,Beach & Location,NO_MATCH,"NEW canonical needed: 'free_beach_equipment' or map to existing beach-related code. Currently classified as beach_access in Novoton"
NOVOTON_ONLY,—,—,Wellness & Recreation,—,—,6,Entertainment,hotel_facility,—,NO,hotel_feature_mappings,NO,Hotel Amenities,NO_MATCH,"NEW canonical needed: 'entertainment' or 'live_entertainment'. No Sphinx equivalent"
NOVOTON_ONLY,—,—,Wellness & Recreation,—,—,11,Sauna,hotel_facility,—,NO,hotel_feature_mappings,NO,Hotel Amenities,NO_MATCH,"NEW canonical needed: 'sauna'. Could be added to travel_feature_map alongside 'spa' and 'massage'"
NOVOTON_ONLY,—,—,Wellness & Recreation,—,—,13,Balneology,hotel_facility,—,NO,hotel_feature_mappings,NO,Hotel Amenities,NO_MATCH,"NEW canonical needed: 'balneology' or 'thermal_treatment'. Specific to Romanian/Eastern European hotels"
NOVOTON_ONLY,—,—,Room Amenities,—,—,14,Kitchenette,room_facility,—,NO,hotel_feature_mappings,NO,Room Amenities,NO_MATCH,"NEW canonical needed: 'kitchenette'. Common amenity missing from travel_core seed"
NOVOTON_ONLY,—,—,Room Amenities,—,—,17,Bathtub,room_facility,—,NO,hotel_feature_mappings,NO,Room Amenities,NO_MATCH,"NEW canonical needed: 'bathtub'. Shower exists but not bathtub in travel_core"
NOVOTON_ONLY,—,—,Family & Accessibility,—,—,18,Kids Club,hotel_facility,—,NO,hotel_feature_mappings,NO,Family & Accessibility,NO_MATCH,"NEW canonical needed: 'kids_club'. Related to babysitting but distinct"
NOVOTON_ONLY,—,—,Family & Accessibility,—,—,20,Childrens pool,hotel_facility,—,NO,hotel_feature_mappings,NO,Family & Accessibility,NO_MATCH,"NEW canonical needed: 'kids_pool'. Could be subtype of 'pool'"
NOVOTON_ONLY,—,—,Family & Accessibility,—,—,21,Playground,hotel_facility,—,NO,hotel_feature_mappings,NO,Family & Accessibility,NO_MATCH,"NEW canonical needed: 'playground'"
NOVOTON_ONLY,—,—,Family & Accessibility,—,—,22,Baby crib,room_facility,—,NO,hotel_feature_mappings,NO,Family & Accessibility,NO_MATCH,"NEW canonical needed: 'baby_crib' or 'cot'"
NOVOTON_ONLY,—,—,Beach & Location,—,—,24,Beach bar,hotel_facility,—,NO,hotel_feature_mappings,NO,Beach & Location,NO_MATCH,"NEW canonical needed: 'beach_bar'"
NOVOTON_ONLY,—,—,Parking & Transport,—,—,25,Transport to the lift,hotel_facility,—,NO,hotel_feature_mappings,NO,Parking & Transport,NO_MATCH,"NEW canonical needed: 'ski_lift_transfer' or 'lift_transport'. Winter sports specific"
NOVOTON_ONLY,—,—,Board/Meal,—,—,27,All Inclusive,hotel_facility,—,NO,hotel_feature_mappings,NO,N/A (board type),MISCLASSIFIED,"ISSUE: This is a board/meal type (AI) not a facility. Should NOT be in novoton_facilities — it's already handled by travel_core board mapping"
NOVOTON_ONLY,—,—,Beach & Location,—,—,28,Blue Flag beach,beach_access,—,NO,hotel_feature_mappings,NO,Beach & Location,NO_MATCH,"NEW canonical needed: 'blue_flag_beach'. Quality certification for beaches"
NOVOTON_ONLY,—,—,Parking & Transport,—,—,29,Electric Car Charger,hotel_facility,—,NO,hotel_feature_mappings,NO,Parking & Transport,NO_MATCH,"NEW canonical needed: 'ev_charger' or 'electric_car_charger'. Modern amenity"
NOVOTON_ONLY,—,—,Hotel Amenities,—,—,30,Travel Sustainable,hotel_facility,—,NO,hotel_feature_mappings,NO,Hotel Amenities,NO_MATCH,"NEW canonical needed: 'travel_sustainable' or 'eco_certified'. Sustainability certification"
NOVOTON_ONLY,—,—,Beach & Location,—,—,31,First line,beach_access,—,NO,hotel_feature_mappings,NO,Beach & Location,NO_MATCH,"NEW canonical needed: 'first_line' or 'beachfront'. Premium beach location indicator"

SECTION: SPHINX-ONLY FACILITIES — Exist in Sphinx with canonical code but NO equivalent in Novoton's 31 facilities,,,,,,,,,,,,,,

SPHINX_ONLY,water_bottle,Bottle of Water,Food & Drink,4,Bottle of Water,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only: Novoton API does not provide this as a facility"
SPHINX_ONLY,fruits,Fruits,Food & Drink,5,Fruits,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only: Novoton API does not provide this as a facility"
SPHINX_ONLY,restaurant,Restaurant,Food & Drink,8,Restaurant,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only: Novoton API does not provide this as a facility"
SPHINX_ONLY,restaurant_alacarte,Restaurant (à la carte),Food & Drink,9,Restaurant (à la carte),—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only: Novoton API does not provide this as a facility"
SPHINX_ONLY,bar,Bar,Food & Drink,11,Bar,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only: Novoton API does not provide this as a facility"
SPHINX_ONLY,packed_lunch,Packed Lunch,Food & Drink,14,Packed Lunch,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,special_diet,Special Diet Menus,Food & Drink,17,Special Diet Menus,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,room_service,Room Service,Food & Drink,18,Room Service,—,—,—,YES,—,—,YES,Services,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,breakfast_in_room,Breakfast in Room,Food & Drink,19,Breakfast in Room,—,—,—,YES,—,—,YES,Services,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,massage,Massage,Wellness & Recreation,44,Massage,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,casino,Casino,Wellness & Recreation,86,Casino,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,full_body_massage,Full Body Massage,Wellness & Recreation,163,Full Body Massage,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,ski,Skiing,Wellness & Recreation,178,Skiing,—,—,—,YES,—,—,YES,Beach & Location,NO_MATCH,"Sphinx-only. Novoton has 'Transport to the lift' (25) which is related but different"
SPHINX_ONLY,hiking,Hiking,Wellness & Recreation,179,Hiking,—,—,—,YES,—,—,YES,Beach & Location,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,squash,Squash,Wellness & Recreation,180,Squash,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,cycling,Cycling,Wellness & Recreation,181,Cycling,—,—,—,YES,—,—,YES,Beach & Location,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,bowling,Bowling,Wellness & Recreation,182,Bowling,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,game_room,Game Room,Wellness & Recreation,183,Game Room,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,tennis,Tennis Court,Wellness & Recreation,186,Tennis Court,—,—,—,YES,—,—,YES,Beach & Location,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,horse_riding,Horse Riding,Wellness & Recreation,187,Horse Riding,—,—,—,YES,—,—,YES,Beach & Location,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,ski_school,Ski School,Wellness & Recreation,188,Ski School,—,—,—,YES,—,—,YES,Beach & Location,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,bike_rental,Bicycle Rental,Wellness & Recreation,189,Bicycle Rental,—,—,—,YES,—,—,YES,Parking & Transport,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,relaxation_area,Relaxation Area,Wellness & Recreation,192,Relaxation Area,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,secured_parking,Secured Parking,Parking & Transport,48,Secured Parking,—,—,—,YES,—,—,YES,Parking & Transport,NO_MATCH,"Sphinx-only. Novoton has generic 'Parking' (2)"
SPHINX_ONLY,transfer_service,Transfer Service,Parking & Transport,54,Transfer Service,—,—,—,YES,—,—,YES,Parking & Transport,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,airport_transfer,Airport Transfer,Parking & Transport,57,Airport Transfer,—,—,—,YES,—,—,YES,Services,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,car_rental,Car Rental,Parking & Transport,142,Car Rental,—,—,—,YES,—,—,YES,Parking & Transport,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,bike_tours,Bicycle Tours,Parking & Transport,143,Bicycle Tours,—,—,—,YES,—,—,YES,Beach & Location,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,walking_tours,Walking Tours,Parking & Transport,148,Walking Tours,—,—,—,YES,—,—,YES,Beach & Location,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,parking,Parking,Parking & Transport,199,Parking,—,—,—,YES,—,—,YES,Parking & Transport,NO_MATCH,"Sphinx-only generic parking. Novoton has 'Parking' (2) which maps to free_parking"
SPHINX_ONLY,front_desk_24h,24-Hour Front Desk,Front Desk & Services,"59, 155",24-Hour Front Desk,—,—,—,YES,—,—,YES,Services,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,tour_desk,Tour Desk,Front Desk & Services,64,Tour Desk,—,—,—,YES,—,—,YES,Services,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,currency_exchange,Currency Exchange,Front Desk & Services,65,Currency Exchange,—,—,—,YES,—,—,YES,Services,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,luggage_storage,Luggage Storage,Front Desk & Services,68,Luggage Storage,—,—,—,YES,—,—,YES,Services,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,safety_deposit_box,Safety Deposit Box,Front Desk & Services,70,Safety Deposit Box,—,—,—,YES,—,—,YES,Services,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,strollers,Strollers,Front Desk & Services,94,Strollers,—,—,—,YES,—,—,YES,Family & Accessibility,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,dry_cleaning,Dry Cleaning,Front Desk & Services,98,Dry Cleaning,—,—,—,YES,—,—,YES,Services,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,ironing_service,Ironing Service,Front Desk & Services,99,Ironing Service,—,—,—,YES,—,—,YES,Services,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,laundry,Laundry,Front Desk & Services,100,Laundry,—,—,—,YES,—,—,YES,Services,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,daily_housekeeping,Daily Housekeeping,Front Desk & Services,101,Daily Housekeeping,—,—,—,YES,—,—,YES,Services,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,meeting_facilities,Meeting/Banquet Facilities,Front Desk & Services,104,Meeting/Banquet Facilities,—,—,—,YES,—,—,YES,Services,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,business_centre,Business Centre,Front Desk & Services,"105, 195",Business Centre,—,—,—,YES,—,—,YES,Services,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,fax,Fax/Photocopying,Front Desk & Services,106,Fax/Photocopying,—,—,—,YES,—,—,YES,Services,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,conference_rooms,Conference Rooms,Front Desk & Services,"128, 172",Conference Rooms,—,—,—,YES,—,—,YES,Services,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,wake_up_service,Wake-up Service,Front Desk & Services,"156, 170",Wake-up Service,—,—,—,YES,—,—,YES,Services,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,express_checkin,Express Check-in/Check-out,Front Desk & Services,201,Express Check-in/Check-out,—,—,—,YES,—,—,YES,Services,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,babysitting,Babysitting/Child Services,Front Desk & Services,202,Babysitting/Child Services,—,—,—,YES,—,—,YES,Family & Accessibility,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,cafe,On-site Café,Front Desk & Services,196,On-site Café,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,invoice_available,Invoice Available,Front Desk & Services,198,Invoice Available,—,—,—,YES,—,—,YES,Services,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,non_smoking,Non-smoking Throughout,Room Amenities,115,Non-smoking Throughout,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,smoking_area,Smoking Area,Room Amenities,116,Smoking Area,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,non_smoking_rooms,Non-smoking Rooms,Room Amenities,117,Non-smoking Rooms,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,washer,Washer,Room Amenities,127,Washer,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,tv,TV,Room Amenities,130,TV,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,fan,Fan,Room Amenities,131,Fan,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,desk,Desk,Room Amenities,132,Desk,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,shower,Shower,Room Amenities,133,Shower,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,view,View,Room Amenities,134,View,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,minibar,Minibar,Room Amenities,135,Minibar,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,toilet,Toilet,Room Amenities,136,Toilet,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,towels,Towels,Room Amenities,137,Towels,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,bed_linen,Bed Linen,Room Amenities,138,Bed Linen,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,slippers,Slippers,Room Amenities,139,Slippers,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,telephone,Telephone,Room Amenities,140,Telephone,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,hair_dryer,Hair Dryer,Room Amenities,141,Hair Dryer,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,alarm_clock,Alarm Clock,Room Amenities,144,Alarm Clock,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,toilet_paper,Toilet Paper,Room Amenities,145,Toilet Paper,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,flat_screen_tv,Flat-screen TV,Room Amenities,146,Flat-screen TV,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,soundproofing,Soundproofing,Room Amenities,147,Soundproofing,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,dressing_room,Dressing Room,Room Amenities,149,Dressing Room,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,cable_channels,Cable Channels,Room Amenities,150,Cable Channels,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,carpet,Carpet,Room Amenities,151,Carpet,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,free_toiletries,Free Toiletries,Room Amenities,152,Free Toiletries,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,private_bathroom,Private Bathroom,Room Amenities,158,Private Bathroom,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,private_entrance,Private Entrance,Room Amenities,160,Private Entrance,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,safe,In-room Safe,Room Amenities,161,In-room Safe,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,internet,Internet Services,Room Amenities,162,Internet Services,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,games_puzzles,Games & Puzzles,Room Amenities,164,Games & Puzzles,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,bedside_socket,Socket Near Bed,Room Amenities,165,Socket Near Bed,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,mosquito_net,Mosquito Net,Room Amenities,190,Mosquito Net,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,fridge,Fridge,Room Amenities,191,Fridge,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,wine_champagne,Wine/Champagne,Room Amenities,193,Wine/Champagne,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,wardrobe,Wardrobe/Closet,Room Amenities,194,Wardrobe/Closet,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,shared_lounge,Shared Lounge/TV Area,Room Amenities,200,Shared Lounge/TV Area,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,outdoor_furniture,Outdoor Furniture,Outdoor,72,Outdoor Furniture,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,garden,Garden,Outdoor,75,Garden,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,sun_terrace,Sun Terrace,Outdoor,77,Sun Terrace,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,security_24h,24-Hour Security,Security,153,24-Hour Security,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,soundproof_rooms,Soundproof Rooms,Security,154,Soundproof Rooms,—,—,—,YES,—,—,YES,Room Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,security_alarm,Security Alarm,Security,159,Security Alarm,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,fire_extinguishers,Fire Extinguishers,Security,166,Fire Extinguishers,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,co_detector,Carbon Monoxide Detector,Security,171,Carbon Monoxide Detector,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,card_access,Card Access,Security,173,Card Access,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,cctv_common,CCTV in Common Areas,Security,174,CCTV in Common Areas,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,cctv_outside,CCTV Outside Property,Security,175,CCTV Outside Property,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,smoke_alarm,Smoke Alarm,Security,176,Smoke Alarm,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,key_access,Key Access,Security,197,Key Access,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,stairs_only,Upper Floors by Stairs Only,Accessibility,203,Upper Floors by Stairs Only,—,—,—,YES,—,—,YES,Family & Accessibility,NO_MATCH,"Sphinx-only"
SPHINX_ONLY,no_smoking_all,No Smoking Everywhere,Smoking Policy,204,No Smoking Everywhere,—,—,—,YES,—,—,YES,Hotel Amenities,NO_MATCH,"Sphinx-only"

SECTION: SUMMARY STATISTICS,,,,,,,,,,,,,,

SUMMARY,Total canonical facility codes in travel_feature_map,,,,,,,,,,,,102,,"96 unique + some shared across feature types"
SUMMARY,Total Sphinx facility aliases (in travel_api_alias),,,,,,,,,,,,101,,"101 Sphinx IDs → 96 unique canonical codes (5 duplicates)"
SUMMARY,Total Novoton facilities (from API),,,,,,,,,,,,31,,"31 facilities from Novoton API function 26"
SUMMARY,Novoton facility aliases in travel_api_alias,,,,,,,,,,,,0,,"CRITICAL GAP: Zero Novoton facility aliases exist"
SUMMARY,Matched facilities (both providers),,,,,,,,,,,,15,,"15 Novoton facilities map to existing canonical codes (some partial)"
SUMMARY,Novoton-only facilities (no canonical code),,,,,,,,,,,,16,,"16 need NEW canonical codes or special handling"
SUMMARY,Sphinx-only canonical codes,,,,,,,,,,,,81,,"81 canonical codes have no Novoton equivalent (Sphinx API is much more granular)"
SUMMARY,Novoton facility ID 27 (All Inclusive),,,,,,,,,,,,—,,"MISCLASSIFIED: Board type not a facility — should be removed from novoton_facilities"
